image,answer
/data3/zkachwal/ELSA_D3/1505_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1636_real.png,real
/data3/zkachwal/ELSA_D3/159_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1009_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1986_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1884_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1576_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1180_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1849_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1398_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/854_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1959_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/547_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1102_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/548_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/372_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/976_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/579_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1209_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/389_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/287_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1288_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1833_real.png,real
/data3/zkachwal/ELSA_D3/395_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1381_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1689_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1230_real.png,real
/data3/zkachwal/ELSA_D3/799_real.png,real
/data3/zkachwal/ELSA_D3/1851_real.png,real
/data3/zkachwal/ELSA_D3/1721_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1014_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/242_real.png,real
/data3/zkachwal/ELSA_D3/51_real.png,real
/data3/zkachwal/ELSA_D3/366_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1553_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/3_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1914_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1301_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/952_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1269_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/246_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/746_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/865_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/931_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/560_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1738_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/357_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/314_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1247_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1972_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1899_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/429_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1174_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1137_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/492_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1300_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/794_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1121_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1729_real.png,real
/data3/zkachwal/ELSA_D3/359_real.png,real
/data3/zkachwal/ELSA_D3/1504_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1233_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/944_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1134_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/718_real.png,real
/data3/zkachwal/ELSA_D3/737_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/727_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/130_real.png,real
/data3/zkachwal/ELSA_D3/1013_real.png,real
/data3/zkachwal/ELSA_D3/1849_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/267_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/353_real.png,real
/data3/zkachwal/ELSA_D3/514_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/590_real.png,real
/data3/zkachwal/ELSA_D3/150_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/313_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1527_real.png,real
/data3/zkachwal/ELSA_D3/1078_real.png,real
/data3/zkachwal/ELSA_D3/920_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/841_real.png,real
/data3/zkachwal/ELSA_D3/1631_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1076_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1748_image_gen1.png,ai-generated
/data3/zkachwal/ELSA_D3/1911_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/1396_real.png,real
/data3/zkachwal/ELSA_D3/322_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1265_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/451_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/1885_image_gen3.png,ai-generated
/data3/zkachwal/ELSA_D3/1308_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/743_image_gen2.png,ai-generated
/data3/zkachwal/ELSA_D3/947_image_gen0.png,ai-generated
/data3/zkachwal/ELSA_D3/60_real.png,real
/data3/zkachwal/ELSA_D3/1062_real.png,real
/data3/zkachwal/ELSA_D3/458_image_gen2.png,ai-generated
